corpus_id,corpus_name,campaign_type,description,observation_count,distinct_case_count,distinct_prompt_count,repetitions_per_case,model_or_profile_count,language_count,risk_family_count,start_date,end_date,ground_truth_type,judge_configuration,metric_version,corpus_version,source_location,hash,status,limitations,decision_owner
CORP-001,Baseline Public V1,baseline,Initial repeated-execution baseline,14400,48,4,300,12,1,4,2026-06-20,2026-06-21,mixed,To be documented,To be documented,v1,To be added,To be generated,completed,Aggregated structure requires verification,Sebastien
CORP-002,Weekly Barometer 1,weekly_barometer,Weekly repeated-execution campaign,4800,48,4,100,12,1,4,2026-06-15,2026-06-21,mixed,To be documented,To be documented,v1,To be added,To be generated,completed,Ground-truth categories require consolidation,Sebastien
CORP-003,Weekly Barometer 2,weekly_barometer,Weekly repeated-execution campaign,4800,48,4,100,12,1,4,2026-06-22,2026-06-29,mixed,To be documented,To be documented,v1,To be added,To be generated,completed,Ground-truth categories require consolidation,Sebastien
CORP-004,Weekly Barometer 3,weekly_barometer,Weekly repeated-execution campaign,4800,48,4,100,12,1,4,2026-06-30,2026-07-06,mixed,To be documented,To be documented,v1,To be added,To be generated,completed,One execution requires verification,Sebastien
CORP-005,Weekly Barometer 4,weekly_barometer,Weekly repeated-execution campaign,4800,48,4,100,12,1,4,2026-07-06,2026-07-12,mixed,To be documented,To be documented,v1,To be added,To be generated,completed,Ground-truth categories require consolidation,Sebastien
CORP-006,Weekly Barometer 5,weekly_barometer,Weekly repeated-execution campaign,4800,48,4,100,12,1,4,2026-07-13,2026-07-19,mixed,To be documented,To be documented,v1,To be added,To be generated,completed,Ground-truth categories require consolidation,Sebastien
CORP-007,Weekly Barometer 6,weekly_barometer,Weekly repeated-execution campaign,4800,48,4,100,12,1,4,2026-07-20,2026-07-26,mixed,To be documented,To be documented,v1,To be added,To be generated,completed,Ground-truth categories require consolidation,Sebastien
CORP-008,Monthly Cartography TruthfulQA,monthly_cartography,TruthfulQA cross-model evaluation corpus,9480,790,790,1,12,1,1,2026-07-01,2026-07-31,objective_and_judge_based,OpenAI and Mistral judges,To be documented,v1,To be added,To be generated,completed,Judge coverage differs between configurations,Sebastien
CORP-009,Monthly Cartography Balanced 150,monthly_cartography,Repeated cross-domain runtime corpus,5400,1800,150,3,12,1,Multiple,2026-07-01,2026-07-31,mixed,To be documented,To be documented,v1,To be added,To be generated,completed,Exact family count and ground-truth structure require verification,Sebastien
CORP-010,Kimi K3 Study,named_model_study,Repeated cross-domain study of Kimi K3,1200,120,120,10,1,1,12,2026-07-01,2026-07-23,mixed,To be documented,To be documented,v1,To be added,To be generated,completed,Independent validation not yet completed,Sebastien
